,Ticker,Open,High,Low,Close,Adj Close,Volume,Percent_Change_From_Startdate,Change_Close_Less_Open
2021-02-11 13:30:00-05:00,UUP,32.25,32.38999939,32.17250061,32.25,32.25,8228,22.99771489,0
2021-02-11 14:30:00-05:00,UUP,32.28749847,32.46125031,32.22999954,32.43000031,32.43000031,7418,23.68421493,0.142501831
2021-02-11 15:30:00-05:00,UUP,32.4375,32.5,32.25,32.5,32.5,11178,23.95118555,0.0625
2021-02-12 09:30:00-05:00,UUP,32.18249893,32.99625015,31.91830063,32.99625015,32.99625015,9959,25.84382539,0.813751221
2021-02-12 10:30:00-05:00,UUP,32.98044968,33.375,32.98044968,33.21250153,33.21250153,7782,26.66858274,0.232051849
2021-02-12 11:30:00-05:00,UUP,33.17499924,33.30307388,33.08077621,33.30307388,33.30307388,2778,27.01401508,0.128074646
2021-02-12 12:30:00-05:00,UUP,33.27709961,33.27709961,32.82875061,32.88190079,32.88190079,5040,25.40771033,-0.395198822
2021-02-12 13:30:00-05:00,UUP,32.98249817,33.00500107,32.78250122,32.80120087,32.80120087,4314,25.0999303,-0.181297302
2021-02-12 14:30:00-05:00,UUP,32.67324829,32.90874863,32.63977432,32.89865112,32.89865112,2272,25.47159414,0.225402832
2021-02-12 15:30:00-05:00,UUP,32.9375,33.17750168,32.93500137,33.17750168,33.17750168,4583,26.53509743,0.240001678
2021-02-16 09:30:00-05:00,UUP,34,34.00249863,33.4756012,34.00249863,34.00249863,69097,29.68153897,0.002498627
2021-02-16 10:30:00-05:00,UUP,34.02500153,34.06359863,33.52249908,33.56999969,33.56999969,26738,28.0320388,-0.455001831
2021-02-16 11:30:00-05:00,UUP,33.5,33.75249863,33.22499847,33.40250015,33.40250015,3640,27.39321521,-0.097499847
2021-02-16 12:30:00-05:00,UUP,33.40750122,33.73747635,33.40750122,33.66249847,33.66249847,1971,28.38481829,0.254997253
2021-02-16 13:30:00-05:00,UUP,33.54882431,33.625,33.41635132,33.61249924,33.61249924,1557,28.19412707,0.063674927
2021-02-16 14:30:00-05:00,UUP,33.65499878,33.68999863,33.56499863,33.63249969,33.63249969,3322,28.27040647,-0.022499084
